file,material,condition,angle_deg,wavelength,norm_path,mask_path,mean_defect,mean_bg,std_bg,CNR,SNR,sharpness_varLapl,entropy,glare_ratio,defect_area_pct
C:\Users\engsa\Desktop\said_AI_proc\plastic\defected\0deg\white\plastic_defected_0deg_white.bmp,plastic,defected,0,white,C:\Users\engsa\Desktop\said_AI_proc\plastic\defected\0deg\white\plastic_defected_0deg_white_norm.png,C:\Users\engsa\Desktop\said_AI_proc\plastic\defected\0deg\white\plastic_defected_0deg_white_mask.png,160.26797574357494,50.002131744290416,20.638923711740716,5.342615997778915,3.7469004042504137,9547.3955078125,7.11905626923203,0.0,0.06907344643586602
C:\Users\engsa\Desktop\said_AI_proc\plastic\defected\0deg\red\plastic_defected_0deg_red.bmp,plastic,defected,0,red,C:\Users\engsa\Desktop\said_AI_proc\plastic\defected\0deg\red\plastic_defected_0deg_red_norm.png,C:\Users\engsa\Desktop\said_AI_proc\plastic\defected\0deg\red\plastic_defected_0deg_red_mask.png,120.01189730745148,26.82915378478109,13.0173950279631,7.158324943085881,2.7829875355792058,36469.94140625,7.289700748614135,0.0,0.12741587520424838
C:\Users\engsa\Desktop\said_AI_proc\plastic\undefected\0deg\blue\plastic_undefected_0deg_blue.bmp,plastic,undefected,0,blue,C:\Users\engsa\Desktop\said_AI_proc\plastic\undefected\0deg\blue\plastic_undefected_0deg_blue_norm.png,C:\Users\engsa\Desktop\said_AI_proc\plastic\undefected\0deg\blue\plastic_undefected_0deg_blue_mask.png,124.23530961791832,40.11025730527575,19.500033767864508,4.314097776142225,3.16938436704645,35373.76953125,7.178596046049718,0.0,1.4382156671262254
C:\Users\engsa\Desktop\said_AI_proc\plastic\undefected\0deg\green\plastic_undefected_0deg_green.bmp,plastic,undefected,0,green,C:\Users\engsa\Desktop\said_AI_proc\plastic\undefected\0deg\green\plastic_undefected_0deg_green_norm.png,C:\Users\engsa\Desktop\said_AI_proc\plastic\undefected\0deg\green\plastic_undefected_0deg_green_mask.png,78.38495222929936,37.52164655430338,14.511005585319596,2.816021635077883,2.6703112730948284,57094.80859375,7.355445009612294,0.0,0.050104677287581695
C:\Users\engsa\Desktop\said_AI_proc\plastic\undefected\0deg\white\plastic_undefected_0deg_white.bmp,plastic,undefected,0,white,C:\Users\engsa\Desktop\said_AI_proc\plastic\undefected\0deg\white\plastic_undefected_0deg_white_norm.png,C:\Users\engsa\Desktop\said_AI_proc\plastic\undefected\0deg\white\plastic_undefected_0deg_white_mask.png,153.32286485718345,51.62905405405405,22.501941010495578,4.519335054504692,3.7715268577473426,9730.634765625,7.094440126609583,0.0,0.14036091324550654
C:\Users\engsa\Desktop\said_AI_proc\plastic\undefected\0deg\red\plastic_undefected_0deg_red.bmp,plastic,undefected,0,red,C:\Users\engsa\Desktop\said_AI_proc\plastic\undefected\0deg\red\plastic_undefected_0deg_red_norm.png,C:\Users\engsa\Desktop\said_AI_proc\plastic\undefected\0deg\red\plastic_undefected_0deg_red_mask.png,112.73273273273273,26.422965493168444,13.182438984446078,6.547329165824392,2.8029645537255843,37605.08984375,7.246319983018438,0.0,0.03321030560661765
C:\Users\engsa\Desktop\said_AI_proc\transparent\defected\0deg\blue\transparent_defected_0deg_blue.bmp,transparent,defected,0,blue,C:\Users\engsa\Desktop\said_AI_proc\transparent\defected\0deg\blue\transparent_defected_0deg_blue_norm.png,C:\Users\engsa\Desktop\said_AI_proc\transparent\defected\0deg\blue\transparent_defected_0deg_blue_mask.png,118.3190716106076,26.20572205046375,11.104474387421451,8.295156199782394,2.1645629376824984,50953.23046875,7.410514919567793,0.0006013758042279412,5.768201242085376
C:\Users\engsa\Desktop\said_AI_proc\transparent\defected\0deg\green\transparent_defected_0deg_green.bmp,transparent,defected,0,green,C:\Users\engsa\Desktop\said_AI_proc\transparent\defected\0deg\green\transparent_defected_0deg_green_norm.png,C:\Users\engsa\Desktop\said_AI_proc\transparent\defected\0deg\green\transparent_defected_0deg_green_mask.png,98.2802742675809,25.90371995611848,8.46393478272057,8.551171076982042,2.1669085518152666,33424.44921875,7.062018339859662,0.0007753060534109477,3.167904124540441
C:\Users\engsa\Desktop\said_AI_proc\transparent\defected\0deg\white\transparent_defected_0deg_white.bmp,transparent,defected,0,white,C:\Users\engsa\Desktop\said_AI_proc\transparent\defected\0deg\white\transparent_defected_0deg_white_norm.png,C:\Users\engsa\Desktop\said_AI_proc\transparent\defected\0deg\white\transparent_defected_0deg_white_mask.png,212.83748782461964,35.56799391642565,8.889432766184841,19.94159791415739,2.4904300728804465,19524.982421875,7.241394010829626,0.002144009459252451,1.4539332171670751
C:\Users\engsa\Desktop\said_AI_proc\transparent\defected\0deg\red\transparent_defected_0deg_red.bmp,transparent,defected,0,red,C:\Users\engsa\Desktop\said_AI_proc\transparent\defected\0deg\red\transparent_defected_0deg_red_norm.png,C:\Users\engsa\Desktop\said_AI_proc\transparent\defected\0deg\red\transparent_defected_0deg_red_mask.png,87.43930827752376,16.406891393238258,7.16387676670848,9.915359964646923,1.7671784495216862,52215.328125,7.31519156961392,0.0002249923406862745,4.205362157883987
